Series ID,Year,Period,Label,Value
LAUCN240310000000003,2018,M01,2018 Jan,3.4
LAUCN240310000000003,2018,M02,2018 Feb,3.3
LAUCN240310000000003,2018,M03,2018 Mar,3.2
LAUCN240310000000003,2018,M04,2018 Apr,2.7
LAUCN240310000000003,2018,M05,2018 May,2.8
LAUCN240310000000003,2018,M06,2018 Jun,3.4
LAUCN240310000000003,2018,M07,2018 Jul,3.1
LAUCN240310000000003,2018,M08,2018 Aug,2.8
LAUCN240310000000003,2018,M09,2018 Sep,2.7
LAUCN240310000000003,2018,M10,2018 Oct,2.8
LAUCN240310000000003,2018,M11,2018 Nov,2.6
LAUCN240310000000003,2018,M12,2018 Dec,2.5
LAUCN240310000000003,2019,M01,2019 Jan,3.3
LAUCN240310000000003,2019,M02,2019 Feb,3.0
LAUCN240310000000003,2019,M03,2019 Mar,2.9
LAUCN240310000000003,2019,M04,2019 Apr,2.3
LAUCN240310000000003,2019,M05,2019 May,2.5
LAUCN240310000000003,2019,M06,2019 Jun,3.0
LAUCN240310000000003,2019,M07,2019 Jul,3.0
LAUCN240310000000003,2019,M08,2019 Aug,2.6
LAUCN240310000000003,2019,M09,2019 Sep,2.4
LAUCN240310000000003,2019,M10,2019 Oct,2.5
LAUCN240310000000003,2019,M11,2019 Nov,2.3
LAUCN240310000000003,2019,M12,2019 Dec,2.2
LAUCN240310000000003,2020,M01,2020 Jan,2.7
LAUCN240310000000003,2020,M02,2020 Feb,2.7
LAUCN240310000000003,2020,M03,2020 Mar,3.2
LAUCN240310000000003,2020,M04,2020 Apr,7.3
LAUCN240310000000003,2020,M05,2020 May,8.2
LAUCN240310000000003,2020,M06,2020 Jun,7.8
LAUCN240310000000003,2020,M07,2020 Jul,7.6
LAUCN240310000000003,2020,M08,2020 Aug,6.6
LAUCN240310000000003,2020,M09,2020 Sep,6.6
LAUCN240310000000003,2020,M10,2020 Oct,6.3
LAUCN240310000000003,2020,M11,2020 Nov,6.1
LAUCN240310000000003,2020,M12,2020 Dec,5.9
LAUCN240310000000003,2021,M01,2021 Jan,6.0
LAUCN240310000000003,2021,M02,2021 Feb,5.9
LAUCN240310000000003,2021,M03,2021 Mar,5.7
LAUCN240310000000003,2021,M04,2021 Apr,5.3
LAUCN240310000000003,2021,M05,2021 May,5.1
LAUCN240310000000003,2021,M06,2021 Jun,5.7
LAUCN240310000000003,2021,M07,2021 Jul,5.2
LAUCN240310000000003,2021,M08,2021 Aug,5.0
LAUCN240310000000003,2021,M09,2021 Sep,4.0
LAUCN240310000000003,2021,M10,2021 Oct,3.7
LAUCN240310000000003,2021,M11,2021 Nov,3.4
LAUCN240310000000003,2021,M12,2021 Dec,2.7
LAUCN240310000000003,2022,M01,2022 Jan,3.1
LAUCN240310000000003,2022,M02,2022 Feb,3.1
LAUCN240310000000003,2022,M03,2022 Mar,2.8
LAUCN240310000000003,2022,M04,2022 Apr,2.3
LAUCN240310000000003,2022,M05,2022 May,2.5
LAUCN240310000000003,2022,M06,2022 Jun,3.1
LAUCN240310000000003,2022,M07,2022 Jul,2.8
LAUCN240310000000003,2022,M08,2022 Aug,2.8
LAUCN240310000000003,2022,M09,2022 Sep,2.3
LAUCN240310000000003,2022,M10,2022 Oct,2.4
LAUCN240310000000003,2022,M11,2022 Nov,2.1
LAUCN240310000000003,2022,M12,2022 Dec,1.8
LAUCN240310000000003,2023,M01,2023 Jan,2.0
LAUCN240310000000003,2023,M02,2023 Feb,2.1
LAUCN240310000000003,2023,M03,2023 Mar,1.7
LAUCN240310000000003,2023,M04,2023 Apr,1.3
LAUCN240310000000003,2023,M05,2023 May,1.5
LAUCN240310000000003,2023,M06,2023 Jun,1.8
LAUCN240310000000003,2023,M07,2023 Jul,1.9
LAUCN240310000000003,2023,M08,2023 Aug,2.0
LAUCN240310000000003,2023,M09,2023 Sep,2.0
LAUCN240310000000003,2023,M10,2023 Oct,2.2
LAUCN240310000000003,2023,M11,2023 Nov,1.9
LAUCN240310000000003,2023,M12,2023 Dec,2.1
LAUCN240310000000003,2024,M01,2024 Jan,2.4
LAUCN240310000000003,2024,M02,2024 Feb,2.7
LAUCN240310000000003,2024,M03,2024 Mar,2.6
LAUCN240310000000003,2024,M04,2024 Apr,2.1
LAUCN240310000000003,2024,M05,2024 May,2.3
LAUCN240310000000003,2024,M06,2024 Jun,3.0
LAUCN240310000000003,2024,M07,2024 Jul,3.1
LAUCN240310000000003,2024,M08,2024 Aug,3.0
LAUCN240310000000003,2024,M09,2024 Sep,2.6
LAUCN240310000000003,2024,M10,2024 Oct,2.8
LAUCN240310000000003,2024,M11,2024 Nov,2.8
LAUCN240310000000003,2024,M12,2024 Dec,2.4
LAUCN240310000000003,2025,M01,2025 Jan,2.5
LAUCN240310000000003,2025,M02,2025 Feb,3.1
LAUCN240310000000003,2025,M03,2025 Mar,3.1
LAUCN240310000000003,2025,M04,2025 Apr,2.9
LAUCN240310000000003,2025,M05,2025 May,3.2
